term,definition,isTechnical,label
height,"A architecture term meaning yükseklik, used in site, drawing, installation or coordination contexts.",True,1
width,"A architecture term meaning genişlik, used in site, drawing, installation or coordination contexts.",True,1
ceiling,"A architecture term meaning tavan, used in site, drawing, installation or coordination contexts.",True,1
curtain,"A architecture term meaning perde, used in site, drawing, installation or coordination contexts.",True,1
balcony,"A architecture term meaning balkon, used in site, drawing, installation or coordination contexts.",True,1
building,"A architecture term meaning bina, used in site, drawing, installation or coordination contexts.",True,1
corner,"A architecture term meaning köşe, used in site, drawing, installation or coordination contexts.",True,1
corridor,"A architecture term meaning koridor, used in site, drawing, installation or coordination contexts.",True,1
door,"A architecture term meaning kapı, used in site, drawing, installation or coordination contexts.",True,1
entrance,"A architecture term meaning giriş, used in site, drawing, installation or coordination contexts.",True,1
floor,"A architecture term meaning kat / zemin, used in site, drawing, installation or coordination contexts.",True,1
room,"A architecture term meaning oda, used in site, drawing, installation or coordination contexts.",True,1
space,"A architecture term meaning alan / boşluk, used in site, drawing, installation or coordination contexts.",True,1
wall,"A architecture term meaning duvar, used in site, drawing, installation or coordination contexts.",True,1
window,"A architecture term meaning pencere, used in site, drawing, installation or coordination contexts.",True,1
bottom,"A civil term meaning alt / taban, used in site, drawing, installation or coordination contexts.",True,1
hall,"A civil term meaning salon / hol / data hall, used in site, drawing, installation or coordination contexts.",True,1
wire,"A electrical term meaning tel / kablo, used in site, drawing, installation or coordination contexts.",True,1
button,"A electrical term meaning buton / düğme, used in site, drawing, installation or coordination contexts.",True,1
IT server,"A electrical term meaning BT sunucu, used in site, drawing, installation or coordination contexts.",True,1
electricity,"A electrical term meaning elektrik, used in site, drawing, installation or coordination contexts.",True,1
plug,"A electrical term meaning fiş, used in site, drawing, installation or coordination contexts.",True,1
bulb,"A electrical term meaning ampul, used in site, drawing, installation or coordination contexts.",True,1
light,"A electrical term meaning ışık / hafif, used in site, drawing, installation or coordination contexts.",True,1
line,"A electrical term meaning hat / çizgi, used in site, drawing, installation or coordination contexts.",True,1
socket,"A electrical term meaning priz, used in site, drawing, installation or coordination contexts.",True,1
camera,"A electrical term meaning kamera, used in site, drawing, installation or coordination contexts.",True,1
switch,"A electrical term meaning anahtar / şalter, used in site, drawing, installation or coordination contexts.",True,1
news,"An education and learning term meaning haber, used for self-study, courses or technical learning.",False,0
newspaper,"An education and learning term meaning gazete, used for self-study, courses or technical learning.",False,0
online,"An adverb meaning “çevrim içi”, used to describe how or when an action is done.",False,0
video,"An education and learning term meaning video, used for self-study, courses or technical learning.",False,0
card,"A finance/admin term meaning kart, used for payments, salary, banking, tax, visa or document communication.",False,0
address,"A travel English term meaning adres / adreslemek, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
answer,"An education and learning term meaning cevap, used for self-study, courses or technical learning.",False,0
ask,"To ask something in a work, site or daily communication context.",False,0
believe,"To believe something in a work, site or daily communication context.",False,0
bring,"To bring something in a work, site or daily communication context.",False,0
call,"To call something in a work, site or daily communication context.",False,0
choose,"To choose something in a work, site or daily communication context.",False,0
fine,"A practical English term meaning iyi / ceza, used in daily work-life communication.",False,0
great,"A practical English term meaning harika / büyük, used in daily work-life communication.",False,0
happen,"To happen something in a work, site or daily communication context.",False,0
hear,"To hear something in a work, site or daily communication context.",False,0
help,"To help something in a work, site or daily communication context.",False,0
hope,"A practical English term meaning umut / ummak, used in daily work-life communication.",False,0
information,"An education and learning term meaning bilgi, used for self-study, courses or technical learning.",False,0
language,"An education and learning term meaning dil, used for self-study, courses or technical learning.",False,0
message,"A practical English term meaning mesaj, used in daily work-life communication.",False,0
picture,"A practical English term meaning resim / fotoğraf, used in daily work-life communication.",False,0
problem,"A practical English term meaning problem / sorun, used in daily work-life communication.",False,0
quickly,"An adverb meaning “hızlıca”, used to describe how or when an action is done.",False,0
really,"An adverb meaning “gerçekten”, used to describe how or when an action is done.",False,0
send,"To send something in a work, site or daily communication context.",False,0
sending,"A practical English term meaning gönderme, used in daily work-life communication.",False,0
sent,"An adjective meaning “gönderilmiş”, used to describe a condition, issue, status or requirement.",False,0
slowly,"An adverb meaning “yavaşça”, used to describe how or when an action is done.",False,0
something,"A practical English term meaning bir şey, used in daily work-life communication.",False,0
soon,"An adverb meaning “yakında”, used to describe how or when an action is done.",False,0
together,"An adverb meaning “birlikte”, used to describe how or when an action is done.",False,0
understand,"A practical English term meaning anlamak, used in daily work-life communication.",False,0
bag,"A practical English term meaning çanta, used in daily work-life communication.",False,0
bank,"A finance/admin term meaning banka, used for payments, salary, banking, tax, visa or document communication.",False,0
bill,"A finance/admin term meaning fatura, used for payments, salary, banking, tax, visa or document communication.",False,0
box,"A practical English term meaning kutu, used in daily work-life communication.",False,0
bread,"A practical English term meaning ekmek, used in daily work-life communication.",False,0
cash,"A finance/admin term meaning nakit, used for payments, salary, banking, tax, visa or document communication.",False,0
daily,"An adverb meaning “günlük”, used to describe how or when an action is done.",False,0
day,"A practical English term meaning gün, used in daily work-life communication.",False,0
empty,"A practical English term meaning boş, used in daily work-life communication.",False,0
key,"A practical English term meaning anahtar, used in daily work-life communication.",False,0
live,"An adjective meaning “yaşamak / canlı”, used to describe a condition, issue, status or requirement.",False,0
phone,"A practical English term meaning telefon, used in daily work-life communication.",False,0
photo,"A practical English term meaning fotoğraf, used in daily work-life communication.",False,0
piece,"A practical English term meaning parça, used in daily work-life communication.",False,0
table,"An adjective meaning “masa / tablo”, used to describe a condition, issue, status or requirement.",False,0
yesterday,"A practical English term meaning dün, used in daily work-life communication.",False,0
paper,"A practical English term meaning kâğıt / makale, used in daily work-life communication.",False,0
about,"A practical English term meaning hakkında, used in daily work-life communication.",False,0
above,"A practical English term meaning üstünde / yukarıda, used in daily work-life communication.",False,0
after,"A practical English term meaning sonra, used in daily work-life communication.",False,0
again,"A practical English term meaning tekrar, used in daily work-life communication.",False,0
all,"A practical English term meaning tüm / hepsi, used in daily work-life communication.",False,0
always,"An adverb meaning “her zaman”, used to describe how or when an action is done.",False,0
and,"A practical English term meaning ve, used in daily work-life communication.",False,0
anything,"A practical English term meaning herhangi bir şey, used in daily work-life communication.",False,0
bad,"A practical English term meaning kötü, used in daily work-life communication.",False,0
basic,"An adjective meaning “temel”, used to describe a condition, issue, status or requirement.",False,0
before,"A practical English term meaning önce, used in daily work-life communication.",False,0
behind,"A practical English term meaning arkasında, used in daily work-life communication.",False,0
below,"A practical English term meaning altında / aşağıda, used in daily work-life communication.",False,0
better,"A practical English term meaning daha iyi, used in daily work-life communication.",False,0
between,"A practical English term meaning arasında, used in daily work-life communication.",False,0
common,"An adjective meaning “ortak / yaygın”, used to describe a condition, issue, status or requirement.",False,0
difficult,"A practical English term meaning zor, used in daily work-life communication.",False,0
double,"A practical English term meaning çift, used in daily work-life communication.",False,0
easy,"A practical English term meaning kolay, used in daily work-life communication.",False,0
else,"A practical English term meaning başka, used in daily work-life communication.",False,0
far,"A practical English term meaning uzak, used in daily work-life communication.",False,0
fast,"A practical English term meaning hızlı, used in daily work-life communication.",False,0
front,"A practical English term meaning ön, used in daily work-life communication.",False,0
half,"A practical English term meaning yarım, used in daily work-life communication.",False,0
important,"An adjective meaning “önemli”, used to describe a condition, issue, status or requirement.",False,0
inside,"A practical English term meaning içinde / iç taraf, used in daily work-life communication.",False,0
large,"A practical English term meaning büyük, used in daily work-life communication.",False,0
late,"A practical English term meaning geç, used in daily work-life communication.",False,0
little,"A practical English term meaning az / küçük, used in daily work-life communication.",False,0
low,"A practical English term meaning düşük, used in daily work-life communication.",False,0
normal,"An adjective meaning “normal”, used to describe a condition, issue, status or requirement.",False,0
often,"An adverb meaning “sık sık”, used to describe how or when an action is done.",False,0
open,"To open something in a work, site or daily communication context.",False,0
outside,"A practical English term meaning dışında / dışarıda, used in daily work-life communication.",False,0
short,"A practical English term meaning kısa, used in daily work-life communication.",False,0
single,"A practical English term meaning tek, used in daily work-life communication.",False,0
sometimes,"An adverb meaning “bazen”, used to describe how or when an action is done.",False,0
usually,"An adverb meaning “genellikle”, used to describe how or when an action is done.",False,0
without,"A practical English term meaning olmadan, used in daily work-life communication.",False,0
black,"A practical English term meaning siyah / blackout bağlamı, used in daily work-life communication.",False,0
bus,"A travel English term meaning bara / bus hattı, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
car,"A travel English term meaning araç / kabin, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
child,"A practical English term meaning çocuk, used in daily work-life communication.",False,0
city,"A practical English term meaning şehir / şehir şebekesi, used in daily work-life communication.",False,0
coffee,"A social and cultural English term meaning kahve, used in small talk, casual conversation or culture discussions.",False,0
computer,"A practical English term meaning bilgisayar, used in daily work-life communication.",False,0
first,"A practical English term meaning ilk / birinci, used in daily work-life communication.",False,0
full,"A practical English term meaning tam, used in daily work-life communication.",False,0
green,"A practical English term meaning yeşil, used in daily work-life communication.",False,0
high,"A practical English term meaning yüksek, used in daily work-life communication.",False,0
internet,"A practical English term meaning internet, used in daily work-life communication.",False,0
long,"A practical English term meaning uzun, used in daily work-life communication.",False,0
