term,definition,category
wire,"A electrical term meaning tel / kablo, used in site, drawing, installation or coordination contexts.",cables
button,"A electrical term meaning buton / düğme, used in site, drawing, installation or coordination contexts.",controls
IT server,"A electrical term meaning BT sunucu, used in site, drawing, installation or coordination contexts.",electrical systems
electricity,"A electrical term meaning elektrik, used in site, drawing, installation or coordination contexts.",general electrical
plug,"A electrical term meaning fiş, used in site, drawing, installation or coordination contexts.",home electrical
bulb,"A electrical term meaning ampul, used in site, drawing, installation or coordination contexts.",lighting
light,"A electrical term meaning ışık / hafif, used in site, drawing, installation or coordination contexts.",lighting
line,"A electrical term meaning hat / çizgi, used in site, drawing, installation or coordination contexts.",power distribution
socket,"A electrical term meaning priz, used in site, drawing, installation or coordination contexts.",power distribution
camera,"A electrical term meaning kamera, used in site, drawing, installation or coordination contexts.",security systems
switch,"A electrical term meaning anahtar / şalter, used in site, drawing, installation or coordination contexts.",switchgear
speaker,"A electrical term meaning hoparlör / konuşmacı, used in site, drawing, installation or coordination contexts.",ELV systems
network,"A electrical term meaning ağ / şebeke, used in site, drawing, installation or coordination contexts.",IT & networks
router,"A electrical term meaning router / yönlendirici, used in site, drawing, installation or coordination contexts.",IT & networks
battery,"A electrical term meaning akü / batarya, used in site, drawing, installation or coordination contexts.",UPS & batteries
charge,"A electrical term meaning ücret / şarj etmek, used in site, drawing, installation or coordination contexts.",batteries
ladder,"A electrical term meaning merdiven / kablo merdiveni, used in site, drawing, installation or coordination contexts.",cable containment
pull,"A electrical term meaning çekmek, used in site, drawing, installation or coordination contexts.",cable installation
pulled,"A electrical term meaning çekilmiş, used in site, drawing, installation or coordination contexts.",cable installation
pulling,"A electrical term meaning çekme, used in site, drawing, installation or coordination contexts.",cable installation
cable,"An adjective meaning “kablo”, used to describe a condition, issue, status or requirement.",cables
flexible,"An adjective meaning “esnek”, used to describe a condition, issue, status or requirement.",cables
screen,"A electrical term meaning ekran / zırh ekranı, used in site, drawing, installation or coordination contexts.",cables
section,"A electrical term meaning kesit / bölüm, used in site, drawing, installation or coordination contexts.",cables
voice,"A electrical term meaning ses, used in site, drawing, installation or coordination contexts.",communication systems
contact,"A electrical term meaning kontak / iletişim, used in site, drawing, installation or coordination contexts.",components
device,"A electrical term meaning cihaz, used in site, drawing, installation or coordination contexts.",components
control,"A electrical term meaning kontrol, used in site, drawing, installation or coordination contexts.",controls
display,"A electrical term meaning ekran / göstermek, used in site, drawing, installation or coordination contexts.",controls
input,"A electrical term meaning giriş, used in site, drawing, installation or coordination contexts.",controls
sensor,"A electrical term meaning sensör, used in site, drawing, installation or coordination contexts.",controls
signal,"An adjective meaning “sinyal”, used to describe a condition, issue, status or requirement.",controls
diagram,"A electrical term meaning diyagram / şema, used in site, drawing, installation or coordination contexts.",drawings
earth,"A electrical term meaning toprak / topraklamak, used in site, drawing, installation or coordination contexts.",earthing & bonding
heat,"A electrical term meaning ısı / sıcaklık, used in site, drawing, installation or coordination contexts.",electrical components
smoke,"A electrical term meaning duman, used in site, drawing, installation or coordination contexts.",electrical safety / protection
safety cable,"A electrical term meaning Emniyet/Güvenlik Kablosu, used in site, drawing, installation or coordination contexts.",electrical systems
equipment,"An adjective meaning “ekipman”, used to describe a condition, issue, status or requirement.",equipment
fail,"A electrical term meaning arızalanmak / başarısız olmak, used in site, drawing, installation or coordination contexts.",faults
