term,turkishMeaning,definition,exampleSentence,turkishExample,domain
height,yükseklik,"A architecture term meaning yükseklik, used in site, drawing, installation or coordination contexts.",Please confirm the ceiling height before we order the supports.,Askıları sipariş etmeden önce tavan yüksekliğini teyit edin.,architecture
width,genişlik,"A architecture term meaning genişlik, used in site, drawing, installation or coordination contexts.",The door width is not enough for the equipment delivery.,Kapı genişliği ekipman teslimatı için yeterli değil.,architecture
ceiling,tavan,"A architecture term meaning tavan, used in site, drawing, installation or coordination contexts.",The ceiling finish was reviewed during the client walkthrough.,Müşteri saha turu sırasında tavan kaplaması incelendi.,architecture
curtain,perde,"A architecture term meaning perde, used in site, drawing, installation or coordination contexts.",Please check the curtain location against the latest layout.,Lütfen perde konumunu en son yerleşim planına göre kontrol edin.,architecture
balcony,balkon,"A architecture term meaning balkon, used in site, drawing, installation or coordination contexts.",The balcony dimensions must match the approved architectural drawing.,Balkon ölçüleri onaylı mimari çizimle uyumlu olmalıdır.,architecture
building,bina,"A architecture term meaning bina, used in site, drawing, installation or coordination contexts.",The architect confirmed the building detail before material approval.,Mimar malzeme onayından önce bina detayını teyit etti.,architecture
corner,köşe,"A architecture term meaning köşe, used in site, drawing, installation or coordination contexts.",The corner must be confirmed before the work continues.,İşe devam etmeden önce köşe teyit edilmelidir.,architecture
corridor,koridor,"A architecture term meaning koridor, used in site, drawing, installation or coordination contexts.",Please check the corridor location against the latest layout.,Lütfen koridor konumunu en son yerleşim planına göre kontrol edin.,architecture
door,kapı,"A architecture term meaning kapı, used in site, drawing, installation or coordination contexts.",The door dimensions must match the approved architectural drawing.,Kapı ölçüleri onaylı mimari çizimle uyumlu olmalıdır.,architecture
entrance,giriş,"A architecture term meaning giriş, used in site, drawing, installation or coordination contexts.",The architect confirmed the entrance detail before material approval.,Mimar malzeme onayından önce giriş detayını teyit etti.,architecture
floor,kat / zemin,"A architecture term meaning kat / zemin, used in site, drawing, installation or coordination contexts.",Please check the floor before the next inspection.,Lütfen bir sonraki muayeneden önce kat / zemin kontrol edin.,architecture
room,oda,"A architecture term meaning oda, used in site, drawing, installation or coordination contexts.",The room must be confirmed before the work continues.,İşe devam etmeden önce oda teyit edilmelidir.,architecture
space,alan / boşluk,"A architecture term meaning alan / boşluk, used in site, drawing, installation or coordination contexts.",The space dimensions must match the approved architectural drawing.,Alan ölçüleri onaylı mimari çizimle uyumlu olmalıdır.,architecture
wall,duvar,"A architecture term meaning duvar, used in site, drawing, installation or coordination contexts.",The architect confirmed the wall detail before material approval.,Mimar malzeme onayından önce duvar detayını teyit etti.,architecture
window,pencere,"A architecture term meaning pencere, used in site, drawing, installation or coordination contexts.",The window finish was reviewed during the client walkthrough.,Müşteri saha turu sırasında pencere kaplaması incelendi.,architecture
bottom,alt / taban,"A civil term meaning alt / taban, used in site, drawing, installation or coordination contexts.",Please check the bottom before the next inspection.,Lütfen bir sonraki muayeneden önce alt / taban kontrol edin.,civil
