id,term,normalizedTerm,turkishMeaning,cefrLevel,domain,contentDomain,lifeContext,register,primaryUseCase,category,termType,partOfSpeech,wordCount,definition,exampleSentence,turkishExample,relatedTerms,commonMistakes,grammarFits,skillUse,tags,source,confidence,status,importTier,isCore,isTechnical,isProfessionalPhrase,isContractual,isDailySiteEnglish,isLifeWideEnglish,reviewReason,variantOf,grammarDomainAlias,qcRepairNotes
vocab_commissioning_b1_0010,loop test,loop test,loop testi,B1,EngGen,workplace,commissioning,formal,work-report,commissioning,two_word_term,multiword_term,2,"A commissioning term meaning loop testi, used in inspections, testing, safety or handover communication.",Please record the loop test result in the commissioning sheet.,Lütfen loop testi sonucunu devreye alma formuna kaydedin.,"test, energisation, verification, calibration, handover","In technical writing, keep the term specific and avoid vague words like thing or stuff. For “loop test”, check the exact commissioning meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, commissioning, engineering, engineeros, two_word_term, EngGen",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,EngGen,domain_mapping: domain mapped to commissioning | Final polish: mechanical template removed; English/Turkish naturalness repaired | merged_to_EngGen
vocab_commissioning_b1_0012,trip test,trip test,açma testi,B1,EngGen,workplace,commissioning,formal,work-report,commissioning,two_word_term,multiword_term,2,"A commissioning term meaning açma testi, used in inspections, testing, safety or handover communication.",Please check the trip test before the next inspection.,Lütfen bir sonraki muayeneden önce açma testi kontrol edin.,"test, energisation, verification, calibration, handover","Do not translate this word alone without checking the drawing, system or site context. For “trip test”, check the exact commissioning meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, commissioning, engineering, engineeros, two_word_term, EngGen",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,EngGen,domain_mapping: domain mapped to commissioning | merged_to_EngGen
vocab_electrical_b1_0087,cable termination,cable termination,kablo sonlandırma,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning kablo sonlandırma, used in site, drawing, installation or coordination contexts.",The cable termination must be confirmed before the work continues.,İşe devam etmeden önce kablo sonlandırma teyit edilmelidir.,"power, cable, panel, protection, testing","In technical writing, keep the term specific and avoid vague words like thing or stuff. For “cable termination”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical
vocab_electrical_b1_0089,cable trunking,cable trunking,kablo kanalı,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning kablo kanalı, used in site, drawing, installation or coordination contexts.",The cable trunking must be verified before energising the panel.,Pano enerjilendirilmeden önce kablo kanalı doğrulanmalıdır.,"power, cable, panel, protection, testing","Do not translate this word alone without checking the drawing, system or site context. For “cable trunking”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0287,single line diagram,single line diagram,tek hat şeması,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “tek hat şeması”, used in realistic EngineerOS work-life contexts.",The meaning of single line diagram was clear from the context.,Tek hat şeması anlamı bağlamdan açıkça anlaşılıyordu.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “single line diagram”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0269,redundant power,redundant power,yedekli güç,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “yedekli güç”, used in realistic EngineerOS work-life contexts.",The meaning of redundant power was clear from the context.,Yedekli güç anlamı bağlamdan açıkça anlaşılıyordu.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “redundant power”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0231,network switch,network switch,network switch / ağ anahtarı,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “network switch / ağ anahtarı”, used in realistic EngineerOS work-life contexts.",The meaning of network switch was clear from the context.,Network switch anlamı bağlamdan açıkça anlaşılıyordu.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “network switch”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0128,as-built drawing,as-built drawing,as-built / uygulama sonrası çizim,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “as-built / uygulama sonrası çizim”, used in realistic EngineerOS work-life contexts.",The as-built drawing came up during a normal conversation.,As-built konusu günlük bir konuşmada geçti.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “as-built drawing”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0316,wiring diagram,wiring diagram,kablolama şeması,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “kablolama şeması”, used in realistic EngineerOS work-life contexts.",The wiring diagram was important in the short discussion.,Kısa görüşmede kablolama şeması önemliydi.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “wiring diagram”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_finance_admin_b1_0005,automatic transfer switch,automatic transfer switch,otomatik transfer şalteri,B1,EngGen,workplace,bank,formal,work-report,general English / site communication,finance_admin_term,phrase,3,"A finance/admin term meaning otomatik transfer şalteri, used for payments, salary, banking, tax, visa or document communication.",The team should use “automatic transfer switch” carefully in formal project correspondence.,"Ekip, resmî proje yazışmalarında “otomatik transfer şalteri” ifadesini dikkatli kullanmalıdır.","work, site, communication, report, vocabulary","Do not say 'send money by bank' in formal English; use make a bank transfer when relevant. For “automatic transfer switch”, include the amount, date or document reference when needed.","questions, simple present, finance-admin wording, modal obligation, prepositions","reading, writing, speaking, vocabulary","b1, engineeros, finance-admin, finance_admin_term, general-english-site-communication, general-site, EngGen",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,finance_admin_english,False,False,False,False,False,True,,,EngGen,domain_mapping: domain mapped to general | Final polish: mechanical template removed; English/Turkish naturalness repaired | merged_to_EngGen
