term,definition,category
instance variable,"A software term meaning örnek değişkeni, used in site, drawing, installation or coordination contexts.",programming fundamentals
utility function,"A software term meaning yardımcı fonksiyon, used in site, drawing, installation or coordination contexts.",programming fundamentals
loop counter,"A software term meaning döngü sayacı, used in site, drawing, installation or coordination contexts.",programming fundamentals
array,"A software term meaning dizi, used in site, drawing, installation or coordination contexts.",programming fundamentals
string concatenation,"A software term meaning metin birleştirme (string), used in site, drawing, installation or coordination contexts.",programming fundamentals
boolean,"A software term meaning mantıksal değer (boolean), used in site, drawing, installation or coordination contexts.",programming fundamentals
integer,"A software term meaning tam sayı, used in site, drawing, installation or coordination contexts.",programming fundamentals
code documentation comment,"A software term meaning kod dokümantasyon yorumu, used in site, drawing, installation or coordination contexts.",programming fundamentals
if statement,"A software term meaning koşul ifadesi (if), used in site, drawing, installation or coordination contexts.",programming fundamentals
for loop,"A software term meaning for döngüsü, used in site, drawing, installation or coordination contexts.",programming fundamentals
while loop,"A software term meaning while döngüsü, used in site, drawing, installation or coordination contexts.",programming fundamentals
conditional expression,"A software term meaning koşullu ifade, used in site, drawing, installation or coordination contexts.",programming fundamentals
syntax,"A software term meaning söz dizimi, used in site, drawing, installation or coordination contexts.",programming fundamentals
compiler,"A software term meaning derleyici, used in site, drawing, installation or coordination contexts.",programming fundamentals
interpreter,"A software term meaning yorumlayıcı, used in site, drawing, installation or coordination contexts.",programming fundamentals
source code,"A software term meaning kaynak kod, used in site, drawing, installation or coordination contexts.",programming fundamentals
program output,"A software term meaning program çıktısı, used in site, drawing, installation or coordination contexts.",programming fundamentals
user input validation,"A software term meaning kullanıcı girdisi doğrulama, used in site, drawing, installation or coordination contexts.",programming fundamentals
default parameter,"A software term meaning varsayılan parametre, used in site, drawing, installation or coordination contexts.",programming fundamentals
return value,"A software term meaning dönüş değeri, used in site, drawing, installation or coordination contexts.",programming fundamentals
block scope,"A software term meaning blok kapsamı, used in site, drawing, installation or coordination contexts.",programming fundamentals
global variable,"A software term meaning global değişken, used in site, drawing, installation or coordination contexts.",programming fundamentals
local variable,"A software term meaning yerel değişken, used in site, drawing, installation or coordination contexts.",programming fundamentals
data type,"A software term meaning veri tipi, used in site, drawing, installation or coordination contexts.",programming fundamentals
type casting,"A software term meaning tip dönüşümü, used in site, drawing, installation or coordination contexts.",programming fundamentals
recursion,"A software term meaning özyineleme (recursion), used in site, drawing, installation or coordination contexts.",programming fundamentals
nested loop,"A software term meaning iç içe döngü, used in site, drawing, installation or coordination contexts.",programming fundamentals
infinite loop,"A software term meaning sonsuz döngü, used in site, drawing, installation or coordination contexts.",programming fundamentals
pseudocode,"A software term meaning sözde kod (pseudocode), used in site, drawing, installation or coordination contexts.",programming fundamentals
runtime error,"A software term meaning çalışma zamanı hatası, used in site, drawing, installation or coordination contexts.",programming fundamentals
syntax error,"A software term meaning söz dizimi hatası, used in site, drawing, installation or coordination contexts.",programming fundamentals
code block,"A software term meaning kod bloğu, used in site, drawing, installation or coordination contexts.",programming fundamentals
static typing,"A software term meaning statik tip belirleme, used in site, drawing, installation or coordination contexts.",programming fundamentals
dynamic typing,"A software term meaning dinamik tip belirleme, used in site, drawing, installation or coordination contexts.",programming fundamentals
type inference,"A software term meaning tip çıkarımı, used in site, drawing, installation or coordination contexts.",programming fundamentals
memory allocation,"A software term meaning bellek tahsisi, used in site, drawing, installation or coordination contexts.",programming fundamentals
garbage collection,"A software term meaning çöp toplama (garbage collection), used in site, drawing, installation or coordination contexts.",programming fundamentals
pointer,"A software term meaning işaretçi (pointer), used in site, drawing, installation or coordination contexts.",programming fundamentals
circular reference,"A software term meaning döngüsel referans, used in site, drawing, installation or coordination contexts.",programming fundamentals
pass by value,"A software term meaning değer ile geçirme, used in site, drawing, installation or coordination contexts.",programming fundamentals
pass by reference,"A software term meaning referans ile geçirme, used in site, drawing, installation or coordination contexts.",programming fundamentals
tail call optimization,"A software term meaning kuyruk çağrısı optimizasyonu, used in site, drawing, installation or coordination contexts.",programming fundamentals
closures,"A software term meaning kapanışlar (closures), used in site, drawing, installation or coordination contexts.",programming fundamentals
memory leak,"A software term meaning bellek sızıntısı, used in site, drawing, installation or coordination contexts.",programming fundamentals
compiler optimization pass,"A software term meaning derleyici optimizasyon geçişi, used in site, drawing, installation or coordination contexts.",programming fundamentals
programming language,"A software term meaning programlama dili, used in site, drawing, installation or coordination contexts.",languages paradigms
Python,"A software term meaning Python, used in site, drawing, installation or coordination contexts.",languages paradigms
JavaScript,"A software term meaning JavaScript, used in site, drawing, installation or coordination contexts.",languages paradigms
Java,"A software term meaning Java, used in site, drawing, installation or coordination contexts.",languages paradigms
C++,"A software term meaning C++, used in site, drawing, installation or coordination contexts.",languages paradigms
TypeScript,"A software term meaning TypeScript, used in site, drawing, installation or coordination contexts.",languages paradigms
Go language,"A software term meaning Go dili, used in site, drawing, installation or coordination contexts.",languages paradigms
Rust language,"A software term meaning Rust dili, used in site, drawing, installation or coordination contexts.",languages paradigms
scripting language,"A software term meaning betik dili (scripting), used in site, drawing, installation or coordination contexts.",languages paradigms
compiled language,"A software term meaning derlenen dil, used in site, drawing, installation or coordination contexts.",languages paradigms
interpreted language,"A software term meaning yorumlanan dil, used in site, drawing, installation or coordination contexts.",languages paradigms
markup language,"A software term meaning işaretleme dili, used in site, drawing, installation or coordination contexts.",languages paradigms
query language,"A software term meaning sorgu dili, used in site, drawing, installation or coordination contexts.",languages paradigms
procedural programming,"A software term meaning yordamsal programlama, used in site, drawing, installation or coordination contexts.",languages paradigms
declarative programming,"A software term meaning bildirimsel programlama, used in site, drawing, installation or coordination contexts.",languages paradigms
imperative programming,"A software term meaning buyurgan programlama, used in site, drawing, installation or coordination contexts.",languages paradigms
statically typed language,"A software term meaning statik tipli dil, used in site, drawing, installation or coordination contexts.",languages paradigms
dynamically typed language,"A software term meaning dinamik tipli dil, used in site, drawing, installation or coordination contexts.",languages paradigms
domain-specific language,"A software term meaning alana özgü dil, used in site, drawing, installation or coordination contexts.",languages paradigms
low-level language,"A software term meaning düşük seviyeli dil, used in site, drawing, installation or coordination contexts.",languages paradigms
high-level language,"A software term meaning yüksek seviyeli dil, used in site, drawing, installation or coordination contexts.",languages paradigms
multi-paradigm language,"A software term meaning çok paradigmalı dil, used in site, drawing, installation or coordination contexts.",languages paradigms
language interoperability,"A software term meaning diller arası birlikte çalışabilirlik, used in site, drawing, installation or coordination contexts.",languages paradigms
just-in-time compilation,"A software term meaning anlık derleme (JIT), used in site, drawing, installation or coordination contexts.",languages paradigms
ahead-of-time compilation,"A software term meaning önceden derleme (AOT), used in site, drawing, installation or coordination contexts.",languages paradigms
abstract syntax tree,"A software term meaning soyut söz dizimi ağacı, used in site, drawing, installation or coordination contexts.",languages paradigms
bytecode,"A software term meaning bayt kod, used in site, drawing, installation or coordination contexts.",languages paradigms
legacy code,"A software term meaning eski (legacy) kod, used in site, drawing, installation or coordination contexts.",languages paradigms
keyword,"A software term meaning anahtar kelime, used in site, drawing, installation or coordination contexts.",languages paradigms
HTML,"A software term meaning HTML, used in site, drawing, installation or coordination contexts.",languages paradigms
CSS,"A software term meaning CSS, used in site, drawing, installation or coordination contexts.",languages paradigms
SQL,"A software term meaning SQL, used in site, drawing, installation or coordination contexts.",languages paradigms
shell script,"A software term meaning kabuk betiği, used in site, drawing, installation or coordination contexts.",languages paradigms
command line,"A software term meaning komut satırı, used in site, drawing, installation or coordination contexts.",languages paradigms
library,"A software term meaning kütüphane (yazılım), used in site, drawing, installation or coordination contexts.",languages paradigms
testing framework,"A software term meaning test çerçevesi, used in site, drawing, installation or coordination contexts.",languages paradigms
package manager,"A software term meaning paket yöneticisi, used in site, drawing, installation or coordination contexts.",languages paradigms
transitive dependency,"A software term meaning geçişli bağımlılık, used in site, drawing, installation or coordination contexts.",languages paradigms
module bundler,"A software term meaning modül paketleyici, used in site, drawing, installation or coordination contexts.",languages paradigms
standard library,"A software term meaning standart kütüphane, used in site, drawing, installation or coordination contexts.",languages paradigms
polyglot programming,"A software term meaning çoklu dil programlama, used in site, drawing, installation or coordination contexts.",languages paradigms
cross-platform compatibility,"A software term meaning platformlar arası uyumluluk, used in site, drawing, installation or coordination contexts.",languages paradigms
language runtime environment,"A software term meaning dil çalışma ortamı, used in site, drawing, installation or coordination contexts.",languages paradigms
sorted list,"A software term meaning sıralı liste, used in site, drawing, installation or coordination contexts.",data structures
call stack,"A software term meaning çağrı yığını, used in site, drawing, installation or coordination contexts.",data structures
circular queue,"A software term meaning dairesel kuyruk, used in site, drawing, installation or coordination contexts.",data structures
linked list,"A software term meaning bağlı liste, used in site, drawing, installation or coordination contexts.",data structures
hash table,"A software term meaning hash tablosu, used in site, drawing, installation or coordination contexts.",data structures
dictionary,"A software term meaning sözlük (dictionary), used in site, drawing, installation or coordination contexts.",data structures
tree structure,"A software term meaning ağaç yapısı, used in site, drawing, installation or coordination contexts.",data structures
binary tree,"A software term meaning ikili ağaç, used in site, drawing, installation or coordination contexts.",data structures
node,"A software term meaning düğüm (node), used in site, drawing, installation or coordination contexts.",data structures
root node,"A software term meaning kök düğüm, used in site, drawing, installation or coordination contexts.",data structures
leaf node,"A software term meaning yaprak düğüm, used in site, drawing, installation or coordination contexts.",data structures
array index,"A software term meaning dizi indeksi, used in site, drawing, installation or coordination contexts.",data structures
two-dimensional array,"A software term meaning iki boyutlu dizi, used in site, drawing, installation or coordination contexts.",data structures
set data structure,"A software term meaning küme veri yapısı, used in site, drawing, installation or coordination contexts.",data structures
tuple,"A software term meaning demet (tuple), used in site, drawing, installation or coordination contexts.",data structures
key-value pair,"A software term meaning anahtar-değer çifti, used in site, drawing, installation or coordination contexts.",data structures
binary search tree,"A software term meaning ikili arama ağacı, used in site, drawing, installation or coordination contexts.",data structures
heap data structure,"A software term meaning yığın (heap) veri yapısı, used in site, drawing, installation or coordination contexts.",data structures
graph data structure,"A software term meaning çizge (graph) veri yapısı, used in site, drawing, installation or coordination contexts.",data structures
adjacency list,"A software term meaning komşuluk listesi, used in site, drawing, installation or coordination contexts.",data structures
adjacency matrix,"A software term meaning komşuluk matrisi, used in site, drawing, installation or coordination contexts.",data structures
doubly linked list,"A software term meaning çift yönlü bağlı liste, used in site, drawing, installation or coordination contexts.",data structures
circular linked list,"A software term meaning dairesel bağlı liste, used in site, drawing, installation or coordination contexts.",data structures
trie data structure,"A software term meaning trie veri yapısı, used in site, drawing, installation or coordination contexts.",data structures
priority queue,"A software term meaning öncelik kuyruğu, used in site, drawing, installation or coordination contexts.",data structures
hash collision,"A software term meaning hash çakışması, used in site, drawing, installation or coordination contexts.",data structures
dynamic array,"A software term meaning dinamik dizi, used in site, drawing, installation or coordination contexts.",data structures
balanced tree,"A software term meaning dengeli ağaç, used in site, drawing, installation or coordination contexts.",data structures
red-black tree,"A software term meaning kırmızı-siyah ağaç, used in site, drawing, installation or coordination contexts.",data structures
AVL tree,"A software term meaning AVL ağacı, used in site, drawing, installation or coordination contexts.",data structures
B-tree,"A software term meaning B-ağacı, used in site, drawing, installation or coordination contexts.",data structures
disjoint set union,"A software term meaning ayrık küme birleşimi, used in site, drawing, installation or coordination contexts.",data structures
skip list,"A software term meaning atlama listesi, used in site, drawing, installation or coordination contexts.",data structures
amortized time complexity,"A software term meaning itfa edilmiş zaman karmaşıklığı, used in site, drawing, installation or coordination contexts.",data structures
persistent data structure,"A software term meaning kalıcı veri yapısı, used in site, drawing, installation or coordination contexts.",data structures
lock-free data structure,"A software term meaning kilitsiz veri yapısı, used in site, drawing, installation or coordination contexts.",data structures
raw data,"A software term meaning ham veri, used in site, drawing, installation or coordination contexts.",data structures
search algorithm,"A software term meaning arama algoritması, used in site, drawing, installation or coordination contexts.",algorithms
sort,"A software term meaning sıralama, used in site, drawing, installation or coordination contexts.",algorithms
search,"A software term meaning arama, used in site, drawing, installation or coordination contexts.",algorithms
sorting algorithm,"A software term meaning sıralama algoritması, used in site, drawing, installation or coordination contexts.",algorithms
bubble sort,"A software term meaning kabarcık sıralaması, used in site, drawing, installation or coordination contexts.",algorithms
binary search,"A software term meaning ikili arama, used in site, drawing, installation or coordination contexts.",algorithms
linear search,"A software term meaning doğrusal arama, used in site, drawing, installation or coordination contexts.",algorithms
recursive algorithm,"A software term meaning özyinelemeli algoritma, used in site, drawing, installation or coordination contexts.",algorithms
iterative algorithm,"A software term meaning yinelemeli algoritma, used in site, drawing, installation or coordination contexts.",algorithms
time complexity,"A software term meaning zaman karmaşıklığı, used in site, drawing, installation or coordination contexts.",algorithms
space complexity,"A software term meaning alan karmaşıklığı, used in site, drawing, installation or coordination contexts.",algorithms
