term,definition,category
air,"A mechanical term meaning hava, used in site, drawing, installation or coordination contexts.",HVAC
cold,"A mechanical term meaning soğuk, used in site, drawing, installation or coordination contexts.",HVAC
hot,"A mechanical term meaning sıcak, used in site, drawing, installation or coordination contexts.",HVAC
gas,"A mechanical term meaning gaz, used in site, drawing, installation or coordination contexts.",oil & gas
speed,"A mechanical term meaning hız, used in site, drawing, installation or coordination contexts.",parameters
water,"A mechanical term meaning su, used in site, drawing, installation or coordination contexts.",plumbing
conditioner,"A mechanical term meaning klima cihazı, used in site, drawing, installation or coordination contexts.",HVAC
flow,"A mechanical term meaning akış, used in site, drawing, installation or coordination contexts.",HVAC
heater,"A mechanical term meaning ısıtıcı, used in site, drawing, installation or coordination contexts.",HVAC
radiator,"A mechanical term meaning radyatör, used in site, drawing, installation or coordination contexts.",HVAC
brake,"A mechanical term meaning fren, used in site, drawing, installation or coordination contexts.",elevator systems
chain,"A mechanical term meaning zincir, used in site, drawing, installation or coordination contexts.",elevator systems
elevator,"A mechanical term meaning asansör, used in site, drawing, installation or coordination contexts.",elevator systems
machine,"A mechanical term meaning makine, used in site, drawing, installation or coordination contexts.",equipment
motor,"A mechanical term meaning motor, used in site, drawing, installation or coordination contexts.",equipment
movement,"An adjective meaning “hareket”, used to describe a condition, issue, status or requirement.",equipment
pump,"A mechanical term meaning pompa, used in site, drawing, installation or coordination contexts.",equipment
fill,"A mechanical term meaning doldurmak, used in site, drawing, installation or coordination contexts.",fuel systems
filled,"A mechanical term meaning doldurulmuş, used in site, drawing, installation or coordination contexts.",fuel systems
filling,"A mechanical term meaning doldurma, used in site, drawing, installation or coordination contexts.",fuel systems
fuel,"A mechanical term meaning yakıt, used in site, drawing, installation or coordination contexts.",fuel systems
tank,"A mechanical term meaning tank, used in site, drawing, installation or coordination contexts.",fuel systems
leak,"A mechanical term meaning kaçak / sızıntı, used in site, drawing, installation or coordination contexts.",maintenance
fresh,"A mechanical term meaning taze / temiz, used in site, drawing, installation or coordination contexts.",mechanical systems
roof,"A mechanical term meaning çatı, used in site, drawing, installation or coordination contexts.",mechanical systems
pressure,"A mechanical term meaning basınç, used in site, drawing, installation or coordination contexts.",parameters
temperature,"A mechanical term meaning sıcaklık, used in site, drawing, installation or coordination contexts.",parameters
weight,"A mechanical term meaning ağırlık, used in site, drawing, installation or coordination contexts.",parameters
pipe,"A mechanical term meaning boru, used in site, drawing, installation or coordination contexts.",piping
valve,"A mechanical term meaning vana, used in site, drawing, installation or coordination contexts.",piping
airflow,"A mechanical term meaning hava akışı, used in site, drawing, installation or coordination contexts.",HVAC
boiler,"A mechanical term meaning kazan, used in site, drawing, installation or coordination contexts.",HVAC
compressor,"A mechanical term meaning kompresör, used in site, drawing, installation or coordination contexts.",HVAC
cooling,"A mechanical term meaning soğutma, used in site, drawing, installation or coordination contexts.",HVAC
duct,"A mechanical term meaning kanal, used in site, drawing, installation or coordination contexts.",HVAC
exhaust,"A mechanical term meaning egzoz / egzoz havası, used in site, drawing, installation or coordination contexts.",HVAC
filter,"A mechanical term meaning filtrelemek, used in site, drawing, installation or coordination contexts.",HVAC
filtered,"A mechanical term meaning filtrelenmiş, used in site, drawing, installation or coordination contexts.",HVAC
filtering,"A mechanical term meaning filtreleme, used in site, drawing, installation or coordination contexts.",HVAC
filterring,"A mechanical term meaning filtreleme, used in site, drawing, installation or coordination contexts.",HVAC
inlet,"A mechanical term meaning giriş ağzı, used in site, drawing, installation or coordination contexts.",HVAC
intake,"A mechanical term meaning hava girişi / giriş, used in site, drawing, installation or coordination contexts.",HVAC
thermostat,"A mechanical term meaning termostat, used in site, drawing, installation or coordination contexts.",HVAC
vent,"An adjective meaning “menfez / havalandırma ağzı”, used to describe a condition, issue, status or requirement.",HVAC
ventilation,"A mechanical term meaning havalandırma, used in site, drawing, installation or coordination contexts.",HVAC
braking,"A mechanical term meaning frenleme, used in site, drawing, installation or coordination contexts.",elevator systems
cab,"A mechanical term meaning asansör kabini / kabin, used in site, drawing, installation or coordination contexts.",elevator systems
landing,"A mechanical term meaning kat durağı / sahanlık, used in site, drawing, installation or coordination contexts.",elevator systems
atmosphere,"A mechanical term meaning atmosfer / ortam, used in site, drawing, installation or coordination contexts.",environmental conditions
humidity,"A mechanical term meaning nem, used in site, drawing, installation or coordination contexts.",environmental conditions
