term,definition,category
bottom,"A civil term meaning alt / taban, used in site, drawing, installation or coordination contexts.",civil / building elements
hall,"A civil term meaning salon / hol / data hall, used in site, drawing, installation or coordination contexts.",civil / building elements
finish,"To finish something in a work, site or daily communication context.",civil / building elements
construction,"A civil term meaning inşaat, used in site, drawing, installation or coordination contexts.",construction
crane,"A civil term meaning vinç, used in site, drawing, installation or coordination contexts.",construction equipment
paint,"A civil term meaning boyamak, used in site, drawing, installation or coordination contexts.",finishes
painted,"A civil term meaning boyanmış, used in site, drawing, installation or coordination contexts.",finishes
painting,"A civil term meaning boyama, used in site, drawing, installation or coordination contexts.",finishes
bridge,"A civil term meaning köprü, used in site, drawing, installation or coordination contexts.",infrastructure
cut,"A civil term meaning kesilmiş, used in site, drawing, installation or coordination contexts.",installation
cutting,"A civil term meaning kesme, used in site, drawing, installation or coordination contexts.",installation
fix,"To fix something in a work, site or daily communication context.",installation
fixed,"A civil term meaning sabit / düzeltilmiş, used in site, drawing, installation or coordination contexts.",installation
fixing,"A civil term meaning sabitleme / düzeltme, used in site, drawing, installation or coordination contexts.",installation
bolt,"A civil term meaning cıvata, used in site, drawing, installation or coordination contexts.",materials
plate,"A civil term meaning plaka / levha, used in site, drawing, installation or coordination contexts.",materials
steel,"A civil term meaning çelik, used in site, drawing, installation or coordination contexts.",materials
column,"A civil term meaning kolon / sütun, used in site, drawing, installation or coordination contexts.",structure
concrete,"A civil term meaning beton, used in site, drawing, installation or coordination contexts.",structure
structure,"A civil term meaning yapı / strüktür, used in site, drawing, installation or coordination contexts.",structure
ramp,"A civil term meaning rampa, used in site, drawing, installation or coordination contexts.",building
depth,"A civil term meaning derinlik, used in site, drawing, installation or coordination contexts.",civil / building elements
drywall,"A civil term meaning alçıpan bölme, used in site, drawing, installation or coordination contexts.",civil / building elements
facility,"A civil term meaning tesis, used in site, drawing, installation or coordination contexts.",civil / building elements
horizontal,"An adjective meaning “yatay”, used to describe a condition, issue, status or requirement.",civil / building elements
layer,"A civil term meaning katman, used in site, drawing, installation or coordination contexts.",civil / building elements
park,"A civil term meaning otopark, used in site, drawing, installation or coordination contexts.",civil / building elements
raised,"A civil term meaning yükseltilmiş, used in site, drawing, installation or coordination contexts.",civil / building elements
reflected,"A civil term meaning yansıtılmış / RCP bağlamı, used in site, drawing, installation or coordination contexts.",civil / building elements
reinforced,"A civil term meaning donatılı / güçlendirilmiş, used in site, drawing, installation or coordination contexts.",civil / building elements
slab,"A civil term meaning döşeme, used in site, drawing, installation or coordination contexts.",civil / building elements
suspended,"A civil term meaning asma / askıda, used in site, drawing, installation or coordination contexts.",civil / building elements
toe,"A civil term meaning etek / toe-board bağlamı, used in site, drawing, installation or coordination contexts.",civil / building elements
clad steel,"A civil term meaning clad çelik, used in site, drawing, installation or coordination contexts.",civil construction
steel wires,"A civil term meaning çelik wires, used in site, drawing, installation or coordination contexts.",civil construction
backfill,"A civil term meaning dolgu / geri dolgu, used in site, drawing, installation or coordination contexts.",construction
excavate,"A civil term meaning kazı yapmak, used in site, drawing, installation or coordination contexts.",construction
excavated,"A civil term meaning kazılmış, used in site, drawing, installation or coordination contexts.",construction
excavating,"A civil term meaning kazı yapma, used in site, drawing, installation or coordination contexts.",construction
excavation,"A civil term meaning kazı, used in site, drawing, installation or coordination contexts.",construction
pillar,"A civil term meaning kolon / direk, used in site, drawing, installation or coordination contexts.",construction
civil,"An adjective meaning “inşaat / sivil”, used to describe a condition, issue, status or requirement.",discipline
underground,"A civil term meaning yeraltı, used in site, drawing, installation or coordination contexts.",infrastructure
bolted,"A civil term meaning cıvatalı, used in site, drawing, installation or coordination contexts.",installation
drill,"A civil term meaning delmek, used in site, drawing, installation or coordination contexts.",installation
drilled,"A civil term meaning delinmiş, used in site, drawing, installation or coordination contexts.",installation
drilling,"A civil term meaning delme, used in site, drawing, installation or coordination contexts.",installation
weld,"A civil term meaning kaynak yapmak, used in site, drawing, installation or coordination contexts.",installation
welded,"A civil term meaning kaynaklı / kaynak yapılmış, used in site, drawing, installation or coordination contexts.",installation
welding,"A civil term meaning kaynak yapma, used in site, drawing, installation or coordination contexts.",installation
adhesive,"An adjective meaning “yapıştırıcı”, used to describe a condition, issue, status or requirement.",materials
angle,"A civil term meaning açı / köşebent, used in site, drawing, installation or coordination contexts.",materials
bracket,"A civil term meaning braket / konsol, used in site, drawing, installation or coordination contexts.",materials
coat,"A civil term meaning kaplamak, used in site, drawing, installation or coordination contexts.",materials
coated,"A civil term meaning kaplanmış, used in site, drawing, installation or coordination contexts.",materials
coating,"A civil term meaning kaplama, used in site, drawing, installation or coordination contexts.",materials
mortar,"A civil term meaning harç, used in site, drawing, installation or coordination contexts.",materials
stainless,"An adjective meaning “paslanmaz”, used to describe a condition, issue, status or requirement.",materials
crack,"A civil term meaning çatlak, used in site, drawing, installation or coordination contexts.",quality control
grade,"A civil term meaning derece / sınıf / kot, used in site, drawing, installation or coordination contexts.",quality control
beam,"A civil term meaning kiriş / ışın, used in site, drawing, installation or coordination contexts.",structure
foundation,"A civil term meaning temel, used in site, drawing, installation or coordination contexts.",structure
pit,"A civil term meaning çukur / pit, used in site, drawing, installation or coordination contexts.",structure
strength,"A civil term meaning dayanım / güç, used in site, drawing, installation or coordination contexts.",structure
parapet,"A civil term meaning parapet / korkuluk duvarı, used in site, drawing, installation or coordination contexts.",building
beam detector,"A civil term meaning ışın tipi duman dedektörü, used in site, drawing, installation or coordination contexts.",civil construction
galvanized steel,"A civil term meaning galvanizli çelik, used in site, drawing, installation or coordination contexts.",civil construction
stainless steel,"A civil term meaning paslanmaz çelik, used in site, drawing, installation or coordination contexts.",civil construction
stainless steel conduit,"A civil term meaning paslanmaz çelik kablo borusu, used in site, drawing, installation or coordination contexts.",civil construction
steel conduits,"A civil term meaning çelik conduits, used in site, drawing, installation or coordination contexts.",civil construction
steel profiles,"A civil term meaning çelik profiles, used in site, drawing, installation or coordination contexts.",civil construction
baseplate,"A civil term meaning taban plakası, used in site, drawing, installation or coordination contexts.",components
blinding,"A civil term meaning grobeton / körleme, used in site, drawing, installation or coordination contexts.",construction
cavity,"A civil term meaning boşluk / oyuk, used in site, drawing, installation or coordination contexts.",construction
chasing,"A civil term meaning kanal açma, used in site, drawing, installation or coordination contexts.",construction
curing,"A civil term meaning kürleme, used in site, drawing, installation or coordination contexts.",construction
demolish,"A civil term meaning yıkmak, used in site, drawing, installation or coordination contexts.",construction
demolished,"A civil term meaning yıkılmış, used in site, drawing, installation or coordination contexts.",construction
demolishing,"A civil term meaning yıkma, used in site, drawing, installation or coordination contexts.",construction
demolition,"A civil term meaning yıkım, used in site, drawing, installation or coordination contexts.",construction
erect,"A civil term meaning kurmak / dikmek, used in site, drawing, installation or coordination contexts.",construction
erection,"A civil term meaning kurulum / montaj, used in site, drawing, installation or coordination contexts.",construction
formwork,"A civil term meaning kalıp işi, used in site, drawing, installation or coordination contexts.",construction
framing,"A civil term meaning çerçeveleme / konstrüksiyon, used in site, drawing, installation or coordination contexts.",construction
precast,"A civil term meaning prekast / ön üretimli, used in site, drawing, installation or coordination contexts.",construction
rebar,"A civil term meaning donatı demiri, used in site, drawing, installation or coordination contexts.",construction
reinforce,"A civil term meaning güçlendirmek / donatı koymak, used in site, drawing, installation or coordination contexts.",construction
reinforcement,"An adjective meaning “donatı / güçlendirme”, used to describe a condition, issue, status or requirement.",construction
settlement,"An adjective meaning “oturma / uzlaşma”, used to describe a condition, issue, status or requirement.",construction
setback,"A civil term meaning geri çekme mesafesi / aksama, used in site, drawing, installation or coordination contexts.",design
cladding,"A civil term meaning kaplama, used in site, drawing, installation or coordination contexts.",façade
axis,"A civil term meaning eksen, used in site, drawing, installation or coordination contexts.",geometry
aboveground,"A civil term meaning yerüstü, used in site, drawing, installation or coordination contexts.",infrastructure
manhole,"A civil term meaning menhol / rögar, used in site, drawing, installation or coordination contexts.",infrastructure
anchor,"A civil term meaning ankraj / sabitlemek, used in site, drawing, installation or coordination contexts.",installation
bore,"A civil term meaning delik açmak / delik, used in site, drawing, installation or coordination contexts.",installation
fabricate,"A civil term meaning imal etmek, used in site, drawing, installation or coordination contexts.",manufacturing
fabricated,"A civil term meaning imal edilmiş, used in site, drawing, installation or coordination contexts.",manufacturing
fabricating,"A civil term meaning imal etme, used in site, drawing, installation or coordination contexts.",manufacturing
fabrication,"A civil term meaning imalat, used in site, drawing, installation or coordination contexts.",manufacturing
aggregate,"A civil term meaning toplam / agrega, used in site, drawing, installation or coordination contexts.",materials
brittle,"A civil term meaning gevrek, used in site, drawing, installation or coordination contexts.",materials
chloride,"A civil term meaning klorür, used in site, drawing, installation or coordination contexts.",materials
coarse,"A civil term meaning kaba / iri taneli, used in site, drawing, installation or coordination contexts.",materials
corrosion,"A civil term meaning korozyon, used in site, drawing, installation or coordination contexts.",materials
