term,definition,domain
height,"A architecture term meaning yükseklik, used in site, drawing, installation or coordination contexts.",architecture
width,"A architecture term meaning genişlik, used in site, drawing, installation or coordination contexts.",architecture
ceiling,"A architecture term meaning tavan, used in site, drawing, installation or coordination contexts.",architecture
curtain,"A architecture term meaning perde, used in site, drawing, installation or coordination contexts.",architecture
balcony,"A architecture term meaning balkon, used in site, drawing, installation or coordination contexts.",architecture
building,"A architecture term meaning bina, used in site, drawing, installation or coordination contexts.",architecture
corner,"A architecture term meaning köşe, used in site, drawing, installation or coordination contexts.",architecture
corridor,"A architecture term meaning koridor, used in site, drawing, installation or coordination contexts.",architecture
door,"A architecture term meaning kapı, used in site, drawing, installation or coordination contexts.",architecture
entrance,"A architecture term meaning giriş, used in site, drawing, installation or coordination contexts.",architecture
floor,"A architecture term meaning kat / zemin, used in site, drawing, installation or coordination contexts.",architecture
room,"A architecture term meaning oda, used in site, drawing, installation or coordination contexts.",architecture
space,"A architecture term meaning alan / boşluk, used in site, drawing, installation or coordination contexts.",architecture
wall,"A architecture term meaning duvar, used in site, drawing, installation or coordination contexts.",architecture
window,"A architecture term meaning pencere, used in site, drawing, installation or coordination contexts.",architecture
bottom,"A civil term meaning alt / taban, used in site, drawing, installation or coordination contexts.",civil
hall,"A civil term meaning salon / hol / data hall, used in site, drawing, installation or coordination contexts.",civil
wire,"A electrical term meaning tel / kablo, used in site, drawing, installation or coordination contexts.",electrical
button,"A electrical term meaning buton / düğme, used in site, drawing, installation or coordination contexts.",electrical
IT server,"A electrical term meaning BT sunucu, used in site, drawing, installation or coordination contexts.",electrical
electricity,"A electrical term meaning elektrik, used in site, drawing, installation or coordination contexts.",electrical
plug,"A electrical term meaning fiş, used in site, drawing, installation or coordination contexts.",electrical
bulb,"A electrical term meaning ampul, used in site, drawing, installation or coordination contexts.",electrical
light,"A electrical term meaning ışık / hafif, used in site, drawing, installation or coordination contexts.",electrical
line,"A electrical term meaning hat / çizgi, used in site, drawing, installation or coordination contexts.",electrical
socket,"A electrical term meaning priz, used in site, drawing, installation or coordination contexts.",electrical
camera,"A electrical term meaning kamera, used in site, drawing, installation or coordination contexts.",electrical
switch,"A electrical term meaning anahtar / şalter, used in site, drawing, installation or coordination contexts.",electrical
news,"An education and learning term meaning haber, used for self-study, courses or technical learning.",general-english
newspaper,"An education and learning term meaning gazete, used for self-study, courses or technical learning.",general-english
online,"An adverb meaning “çevrim içi”, used to describe how or when an action is done.",general-english
video,"An education and learning term meaning video, used for self-study, courses or technical learning.",general-english
card,"A finance/admin term meaning kart, used for payments, salary, banking, tax, visa or document communication.",EngGen
address,"A travel English term meaning adres / adreslemek, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
answer,"An education and learning term meaning cevap, used for self-study, courses or technical learning.",general-english
ask,"To ask something in a work, site or daily communication context.",general-english
believe,"To believe something in a work, site or daily communication context.",general-english
bring,"To bring something in a work, site or daily communication context.",general-english
call,"To call something in a work, site or daily communication context.",general-english
choose,"To choose something in a work, site or daily communication context.",general-english
fine,"A practical English term meaning iyi / ceza, used in daily work-life communication.",general-english
great,"A practical English term meaning harika / büyük, used in daily work-life communication.",general-english
happen,"To happen something in a work, site or daily communication context.",general-english
hear,"To hear something in a work, site or daily communication context.",general-english
help,"To help something in a work, site or daily communication context.",general-english
hope,"A practical English term meaning umut / ummak, used in daily work-life communication.",general-english
information,"An education and learning term meaning bilgi, used for self-study, courses or technical learning.",general-english
language,"An education and learning term meaning dil, used for self-study, courses or technical learning.",general-english
message,"A practical English term meaning mesaj, used in daily work-life communication.",general-english
picture,"A practical English term meaning resim / fotoğraf, used in daily work-life communication.",general-english
problem,"A practical English term meaning problem / sorun, used in daily work-life communication.",general-english
quickly,"An adverb meaning “hızlıca”, used to describe how or when an action is done.",general-english
really,"An adverb meaning “gerçekten”, used to describe how or when an action is done.",general-english
send,"To send something in a work, site or daily communication context.",general-english
sending,"A practical English term meaning gönderme, used in daily work-life communication.",general-english
sent,"An adjective meaning “gönderilmiş”, used to describe a condition, issue, status or requirement.",general-english
slowly,"An adverb meaning “yavaşça”, used to describe how or when an action is done.",general-english
something,"A practical English term meaning bir şey, used in daily work-life communication.",general-english
soon,"An adverb meaning “yakında”, used to describe how or when an action is done.",general-english
together,"An adverb meaning “birlikte”, used to describe how or when an action is done.",general-english
understand,"A practical English term meaning anlamak, used in daily work-life communication.",general-english
bag,"A practical English term meaning çanta, used in daily work-life communication.",general-english
bank,"A finance/admin term meaning banka, used for payments, salary, banking, tax, visa or document communication.",EngGen
bill,"A finance/admin term meaning fatura, used for payments, salary, banking, tax, visa or document communication.",EngGen
box,"A practical English term meaning kutu, used in daily work-life communication.",general-english
bread,"A practical English term meaning ekmek, used in daily work-life communication.",general-english
cash,"A finance/admin term meaning nakit, used for payments, salary, banking, tax, visa or document communication.",EngGen
daily,"An adverb meaning “günlük”, used to describe how or when an action is done.",general-english
day,"A practical English term meaning gün, used in daily work-life communication.",general-english
empty,"A practical English term meaning boş, used in daily work-life communication.",general-english
key,"A practical English term meaning anahtar, used in daily work-life communication.",general-english
live,"An adjective meaning “yaşamak / canlı”, used to describe a condition, issue, status or requirement.",general-english
phone,"A practical English term meaning telefon, used in daily work-life communication.",general-english
photo,"A practical English term meaning fotoğraf, used in daily work-life communication.",general-english
piece,"A practical English term meaning parça, used in daily work-life communication.",general-english
table,"An adjective meaning “masa / tablo”, used to describe a condition, issue, status or requirement.",general-english
