domain,A1,A2,B1,B2,C1,C2,TOPLAM
EngGen,29,231,381,421,80,55,1197
architecture,54,213,399,188,137,32,1023
chemical,22,119,388,147,211,55,942
civil,44,168,363,230,202,34,1041
electrical,34,159,475,960,242,35,1905
electronics,133,193,327,315,113,17,1098
general-english,189,257,719,91,190,6,1452
hse,91,187,469,259,96,10,1112
industrial,118,208,361,278,82,6,1053
mechanical,78,151,369,439,195,53,1285
mechatronics,125,157,369,324,142,5,1122
software,81,198,459,431,206,17,1392
TOPLAM,998,2241,5079,4083,1896,325,14622
